CustomerID,Name,Age,Age Group ,Gender,City,Marital_Status,Occupation,ProductID,ProductCategory,QuantityPurchased,PurchaseDate,TotalAmountSpent,Status,unnamed1
89028,Ayesha,28,26-35,Female,Bahawalpur,,Healthcare,11014,Food,10,11/26/2023,904.17,,
34281,Khadija,35,26-35,Female,Sukkur,,Govt,42641,Food,9,4/19/2024,32.63,,
20863,Fatima,35,26-35,Female,Islamabad,,Automobile,16711,Books,3,5/16/2024,492.38,,
18821,Ahmed,16,0-17,Male,Peshawar,0,Construction,91337,Food,10,11/5/2023,999.74,,
75603,Aisha,28,26-35,Female,Islamabad,,Food Processing,5865,Food,9,9/3/2023,963.6,,
99768,Ghulam Hassan,28,26-35,Male,Karachi,1,Food Processing,79933,Books,10,5/3/2024,714.1,,
32071,Abid Hassan ,25,18-25,Male,Rawalpindi,1,Lawyer,65348,Clothing,8,11/13/2023,461.78,,
65023,Ahmed,61,55+,Male,Sukkur,0,IT Sector,79943,Books,8,11/18/2023,931.88,,
35664,Usman,35,26-35,Male,Sukkur,1,Govt,87204,Toys,7,12/21/2023,408.92,,
73223,Aisha,26,26-35,Female,Sargodha,1,Media,4911,Food,1,2/27/2024,14.79,,
91459,Sobia ,34,26-35,Female,Quetta,1,Banking,61844,Electronics,6,10/16/2023,146.79,,
5127,Karma Ahmed,20,18-25,Male,Sukkur,0,Retail,32945,Clothing,10,6/30/2024,765.4,,
83872,Shabbir ,20,18-25,Male,Abbottabad,0,IT Sector,52263,Clothing,2,7/6/2024,164.63,,
82013,Ayesha,26,26-35,Female,Multan,1,Automobile,99531,Books,10,9/2/2023,264.28,,
55434,Usman,46,46-50,Male,Multan,0,Hospitality,14435,Clothing,1,3/25/2024,865.99,,
9782,Ibrahim,24,18-25,Male,Bahawalpur,0,Govt,3392,Books,5,11/28/2023,656.62,,
17791,Sarah,48,46-50,Female,Sialkot,1,IT Sector,20002,Food,3,12/2/2023,49.31,,
93820,Omar Shehzad,29,26-35,Male,Karachi,1,Aviation,15399,Books,3,7/30/2024,843.25,,
32240,Zainab,54,51-55,Female,Sialkot,1,Hospitality,39854,Food,6,4/7/2024,153.59,,
42378,Yasir,54,51-55,Male,Karachi,0,Hospitality,2885,Toys,1,8/27/2023,214.06,,
63398,Maryam,19,18-25,Female,Abbottabad,1,Govt,26901,Books,1,10/7/2023,272.51,,
73809,Khadija,46,46-50,Female,Sialkot,0,Banking,88595,Clothing,2,4/28/2024,858.62,,
61042,Rehan,30,26-35,Male,Bahawalpur,1,IT Sector,69670,Books,3,7/31/2024,152.73,,
69471,Khadija,53,51-55,Female,Faisalabad,1,Automobile,16002,Food,6,3/13/2024,586.87,,
79385,Fatima,83,55+,Female,Multan,1,Automobile,43064,Books,4,2/24/2024,859.55,,
92354,Hussain,33,26-35,Male,Sargodha,1,IT Sector,814,Food,6,10/12/2023,273.32,,
89725,Sana,40,36-45,Female,Karachi,0,Banking,18985,Clothing,9,12/31/2023,462.81,,
69729,Sana,25,18-25,Female,Sukkur,0,Banking,84920,Electronics,8,3/29/2024,460.25,,
3482,Ali,54,51-55,Male,Sukkur,0,Govt,80778,Books,3,3/21/2024,563.4, ,
94530,Sarah,39,36-45,Female,Gujranwala,0,Aviation,45142,Clothing,8,9/21/2023,981.38,,
85908,Maryam,20,18-25,Female,Gujranwala,0,Aviation,21354,Books,2,4/10/2024,33.39,,
48886,Sana,32,26-35,Female,Mardan,1,Food Processing,62214,Food,6,5/23/2024,132.94,,
85433,Hassan,36,36-45,Male,Sargodha,1,Automobile,29084,Books,6,11/13/2023,381.04,,
82939,Aisha,35,26-35,Female,Peshawar,1,Media,25981,Books,9,4/18/2024,366.22,,
12975,Amna,55,51-55,Female,Gujranwala,0,Healthcare,12711,Food,9,10/17/2023,989.92,,
13962,Ali,27,26-35,Male,Hyderabad,1,Govt,43128,Toys,2,12/4/2023,170.74,,
36143,Ayesha,20,18-25,Female,Gujranwala,0,Media,5108,Clothing,1,12/18/2023,894.32,,
